mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
max,1,0.8,-0.3,0.0,0.3,0.98,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.0,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.02,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.04,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.06,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.08,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.1,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.12,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.14,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.16,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.18,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.2,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.22,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.24,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.26,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.28,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.3,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.32,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.34,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.36,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.38,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.4,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.42,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.44,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.46,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.48,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.5,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.52,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.54,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.56,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.3,1.58,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.1,25,14,1,369,409,0.6410256410256411,0.9615384615384616,0.7692307692307693,19.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.12,25,11,1,372,409,0.6944444444444444,0.9615384615384616,0.8064516129032258,16.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.14,25,11,1,372,409,0.6944444444444444,0.9615384615384616,0.8064516129032258,16.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.16,25,10,1,373,409,0.7142857142857143,0.9615384615384616,0.819672131147541,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.18,25,10,1,373,409,0.7142857142857143,0.9615384615384616,0.819672131147541,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.2,25,10,1,373,409,0.7142857142857143,0.9615384615384616,0.819672131147541,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.22,25,9,1,374,409,0.7352941176470589,0.9615384615384616,0.8333333333333333,14.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.24,24,7,2,376,409,0.7741935483870968,0.9230769230769231,0.8421052631578947,17.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.26,24,7,2,376,409,0.7741935483870968,0.9230769230769231,0.8421052631578947,17.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.28,24,7,2,376,409,0.7741935483870968,0.9230769230769231,0.8421052631578947,17.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.3,24,7,2,376,409,0.7741935483870968,0.9230769230769231,0.8421052631578947,17.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.32,24,5,2,378,409,0.8275862068965517,0.9230769230769231,0.8727272727272727,15.0
