burst_id,frame_idx,in_x,in_s
20260505_212859_gen2,2,1,0
20260505_212859_gen2,3,1,0
20260505_212859_gen2,6,0,1
20260505_212859_gen2,7,1,0
20260505_212930_gen3,0,1,0
20260505_212930_gen3,1,1,0
20260505_212930_gen3,6,1,0
20260505_212930_gen3,7,1,0
20260505_221411_gen11,1,1,0
20260505_221411_gen11,2,1,0
20260505_221411_gen11,3,1,0
20260505_221931_gen13,0,1,0
20260505_221931_gen13,1,1,0
20260505_222759_gen15,0,0,1
20260505_222759_gen15,1,1,0
20260505_225217_gen18,2,1,0
20260505_225217_gen18,5,0,1
20260505_225217_gen18,7,1,0
20260505_225217_gen18,8,1,0
20260505_225519_gen21,0,0,1
20260505_225519_gen21,2,0,1
20260505_225519_gen21,3,0,1
20260505_225519_gen21,6,0,1
20260505_225519_gen21,8,0,1
20260505_230846_gen22,0,1,0
20260505_230846_gen22,7,1,0
20260505_231157_gen23,0,1,0
20260505_231157_gen23,1,1,0
20260505_231548_gen24,1,1,0
20260505_232424_gen25,5,1,0
20260505_232424_gen25,6,1,0
20260505_232532_gen27,1,1,0
20260505_232532_gen27,2,1,0
20260505_232532_gen27,3,1,0
20260505_232532_gen27,4,1,0
20260505_232532_gen27,5,1,0
20260505_232532_gen27,7,1,0
20260505_234028_gen30,0,1,0
20260505_234028_gen30,1,1,0
20260505_234028_gen30,2,1,0
20260505_234028_gen30,3,1,0
20260505_234028_gen30,4,1,0
20260506_001046_gen38,2,1,0
20260506_001046_gen38,3,1,0
20260506_001046_gen38,4,1,0
20260506_001046_gen38,8,1,0
20260506_001046_gen38,9,1,0
20260506_010955_gen1,1,1,0
20260506_010955_gen1,2,1,0
20260506_010955_gen1,4,1,0
20260506_013555_gen1,2,1,0
20260506_013555_gen1,3,1,0
20260506_013555_gen1,4,1,0
20260506_013555_gen1,5,1,0
20260506_013555_gen1,7,1,0
20260506_045151_gen2,0,1,0
20260506_045151_gen2,9,1,0
20260506_045904_gen3,5,1,0
20260506_045904_gen3,6,1,0
20260506_050005_gen6,1,1,0
20260506_050005_gen6,2,1,0
20260506_050625_gen7,5,1,0
20260506_050625_gen7,6,1,0
20260506_061412_gen9,2,1,0
20260506_061412_gen9,6,0,1
20260506_061559_gen11,3,1,0
20260506_061559_gen11,4,1,0
20260506_061559_gen11,6,1,0
20260506_061559_gen11,7,1,0
20260506_061559_gen11,8,1,0
20260506_061704_gen13,4,1,0
20260506_181858_gen1,6,0,1
20260506_181858_gen1,7,1,0
20260506_181858_gen1,8,1,0
20260506_181858_gen1,9,1,0
20260506_192055_gen3,2,1,0
20260506_192055_gen3,6,1,0
20260506_194735_gen4,3,0,1
20260506_194735_gen4,4,0,1
20260506_194735_gen4,5,0,1
20260506_194735_gen4,6,0,1
20260506_194735_gen4,8,1,0
20260506_194735_gen4,9,1,0
20260506_213844_gen1,0,1,0
20260506_213844_gen1,1,1,0
20260506_213844_gen1,2,1,0
20260506_213844_gen1,3,1,0
20260506_214834_gen2,4,0,1
20260506_214834_gen2,6,1,0
20260507_001250_gen1,2,1,0
20260507_001250_gen1,4,1,0
20260507_022449_gen2,2,1,0
20260507_022449_gen2,3,1,0
20260507_022449_gen2,4,1,0
20260507_022449_gen2,7,1,0
20260507_032001_gen3,2,1,0
20260507_032001_gen3,3,1,0
20260507_032001_gen3,4,1,0
20260507_032001_gen3,6,1,0
20260507_034511_gen4,6,1,0
20260507_034511_gen4,7,1,0
20260507_053106_gen1,0,1,0
20260507_053106_gen1,2,1,0
20260507_053106_gen1,7,1,0
20260507_072102_gen1,6,0,1
20260507_072102_gen1,7,0,1
20260507_072102_gen1,8,1,0
20260507_072632_gen2,2,1,0
20260507_072632_gen2,7,1,0
20260507_080536_gen3,0,1,0
20260507_080536_gen3,3,1,0
20260507_080536_gen3,4,1,0
20260507_080536_gen3,6,0,1
20260507_080536_gen3,7,0,1
20260507_080536_gen3,8,0,1
20260507_182110_gen2,0,1,0
20260507_182110_gen2,7,1,0
20260507_182110_gen2,8,1,0
20260507_182110_gen2,9,1,0
20260507_182207_gen3,3,0,1
20260507_182207_gen3,4,0,1
20260507_182207_gen3,5,0,1
20260507_182207_gen3,6,0,1
20260507_182207_gen3,7,0,1
20260507_184625_gen4,5,1,0
20260507_190152_gen5,5,0,1
20260507_190152_gen5,6,0,1
20260507_193746_gen6,2,1,0
20260507_193746_gen6,9,0,1
20260507_201315_gen7,5,1,0
20260507_201315_gen7,7,1,0
20260507_202455_gen8,0,1,0
20260507_202455_gen8,1,0,1
20260507_202455_gen8,4,0,1
20260507_202455_gen8,8,1,0
20260507_202455_gen8,9,1,0
20260507_212120_gen9,4,1,0
20260507_212120_gen9,5,1,0
20260507_212120_gen9,6,1,0
20260507_212120_gen9,7,1,0
20260507_212120_gen9,9,1,0
20260507_213150_gen11,0,1,0
20260507_213150_gen11,3,1,0
20260507_232821_gen12,2,1,0
20260507_232821_gen12,4,1,0
